,X,Y
0,0.0,8.0
1,1.0,23.0
2,2.0,48.0
3,3.0,83.0
4,4.0,128.0
5,5.0,183.0
6,6.0,248.0
7,7.0,323.0
8,8.0,408.0
9,9.0,503.0
10,10.0,608.0
11,11.0,723.0
12,12.0,848.0
13,13.0,983.0
14,14.0,1128.0
15,15.0,1283.0
16,16.0,1448.0
17,17.0,1623.0
18,18.0,1808.0
19,19.0,2003.0
20,20.0,2208.0
21,21.0,2423.0
22,22.0,2648.0
23,23.0,2883.0
24,24.0,3128.0
25,25.0,3383.0
26,26.0,3648.0
27,27.0,3923.0
28,28.0,4208.0
29,29.0,4503.0
30,30.0,4808.0
31,31.0,5123.0
32,32.0,5448.0
33,33.0,5783.0
34,34.0,6128.0
35,35.0,6483.0
36,36.0,6848.0
37,37.0,7223.0
38,38.0,7608.0
39,39.0,8003.0
40,40.0,8408.0
41,41.0,8823.0
42,42.0,9248.0
43,43.0,9683.0
44,44.0,10128.0
45,45.0,10583.0
46,46.0,11048.0
47,47.0,11523.0
48,48.0,12008.0
49,49.0,12503.0
50,50.0,13008.0
51,51.0,13523.0
52,52.0,14048.0
53,53.0,14583.0
54,54.0,15128.0
55,55.0,15683.0
56,56.0,16248.0
57,57.0,16823.0
58,58.0,17408.0
59,59.0,18003.0
60,60.0,18608.0
61,61.0,19223.0
62,62.0,19848.0
63,63.0,20483.0
64,64.0,21128.0
65,65.0,21783.0
66,66.0,22448.0
67,67.0,23123.0
68,68.0,23808.0
69,69.0,24503.0
70,70.0,25208.0
71,71.0,25923.0
72,72.0,26648.0
73,73.0,27383.0
74,74.0,28128.0
75,75.0,28883.0
76,76.0,29648.0
77,77.0,30423.0
78,78.0,31208.0
79,79.0,32003.0
80,80.0,32808.0
81,81.0,33623.0
82,82.0,34448.0
83,83.0,35283.0
84,84.0,36128.0
85,85.0,36983.0
86,86.0,37848.0
87,87.0,38723.0
88,88.0,39608.0
89,89.0,40503.0
90,90.0,41408.0
91,91.0,42323.0
92,92.0,43248.0
93,93.0,44183.0
94,94.0,45128.0
95,95.0,46083.0
96,96.0,47048.0
97,97.0,48023.0
98,98.0,49008.0
99,99.0,50003.0
